id,type,parent_id,schema,name,parent_name,datatype,constraints,instances,text_sequence,instance_sequence
entity_14,column,entity_10,HR_ORACLE,EMAIL,EMPLOYEES,VARCHAR2,,"RLADWIG, LSMITH, JLANDRY, GHIMURO, SMCCAIN",EMAIL EMPLOYEES VARCHAR2 ,"EMAIL: {RLADWIG, LSMITH, JLANDRY, GHIMURO, SMCCAIN}"
entity_15,column,entity_10,HR_ORACLE,PHONE_NUMBER,EMPLOYEES,VARCHAR2,,"650.127.1934, 650.505.2876, 011.44.1345.529268, 011.44.1344.345268, 011.44.1343.629268",PHONE_NUMBER EMPLOYEES VARCHAR2 ,"PHONE_NUMBER: {650.127.1934, 650.505.2876, 011.44.1345.529268, 011.44.1344.345268, 011.44.1343.629268}"
entity_16,column,entity_10,HR_ORACLE,HIRE_DATE,EMPLOYEES,DATE,,"15-NOV-06, 23-FEB-08, 10-MAR-05, 26-AUG-06, 03-FEB-08",HIRE_DATE EMPLOYEES DATE ,"HIRE_DATE: {15-NOV-06, 23-FEB-08, 10-MAR-05, 26-AUG-06, 03-FEB-08}"
entity_17,column,entity_10,HR_ORACLE,JOB_ID,EMPLOYEES,VARCHAR2,FOREIGN KEY,"AC_ACCOUNT, AD_VP, SH_CLERK, PU_MAN, AC_MGR",JOB_ID EMPLOYEES VARCHAR2 FOREIGN KEY,"JOB_ID: {AC_ACCOUNT, AD_VP, SH_CLERK, PU_MAN, AC_MGR}"
entity_18,column,entity_10,HR_ORACLE,SALARY,EMPLOYEES,NUMBER,,"7300, 2400, 11000, 4800, 3300",SALARY EMPLOYEES NUMBER ,"SALARY: {7300, 2400, 11000, 4800, 3300}"
entity_19,column,entity_10,HR_ORACLE,COMMISSION_PCT,EMPLOYEES,FLOAT,,"0.15, 0.25, 0.2, nan, 0.4",COMMISSION_PCT EMPLOYEES FLOAT ,"COMMISSION_PCT: {0.15, 0.25, 0.2, nan, 0.4}"
entity_20,column,entity_10,HR_ORACLE,MANAGER_ID,EMPLOYEES,NUMBER,FOREIGN KEY,"122, 123, 108, 148, 101",MANAGER_ID EMPLOYEES NUMBER FOREIGN KEY,"MANAGER_ID: {122, 123, 108, 148, 101}"
entity_21,column,entity_10,HR_ORACLE,DEPARTMENT_ID,EMPLOYEES,NUMBER,FOREIGN KEY,"80, 90, 10, 40, 50",DEPARTMENT_ID EMPLOYEES NUMBER FOREIGN KEY,"DEPARTMENT_ID: {80, 90, 10, 40, 50}"
entity_22,table,entity_0,HR_ORACLE,JOB_HISTORY,,,,"EMPLOYEE ID, START DATE, END DATE, JOB ID, DEPARTMENT ID","JOB_HISTORY [EMPLOYEE ID, START DATE, END DATE, JOB ID, DEPARTMENT ID]","JOB_HISTORY: {EMPLOYEE ID, START DATE, END DATE, JOB ID, DEPARTMENT ID}"
entity_23,column,entity_22,HR_ORACLE,EMPLOYEE_ID,JOB_HISTORY,NUMBER,PRIMARY KEY,"176, 201, 114, 102, 101",EMPLOYEE_ID JOB_HISTORY NUMBER PRIMARY KEY,"EMPLOYEE_ID: {176, 201, 114, 102, 101}"
entity_24,column,entity_22,HR_ORACLE,START_DATE,JOB_HISTORY,DATE,,"17-FEB-04, 24-MAR-06, 28-OCT-01, 01-JAN-07, 01-JUL-02",START_DATE JOB_HISTORY DATE ,"START_DATE: {17-FEB-04, 24-MAR-06, 28-OCT-01, 01-JAN-07, 01-JUL-02}"
entity_25,column,entity_22,HR_ORACLE,END_DATE,JOB_HISTORY,DATE,,"31-DEC-06, 15-MAR-05, 19-DEC-07, 24-JUL-06, 31-DEC-07",END_DATE JOB_HISTORY DATE ,"END_DATE: {31-DEC-06, 15-MAR-05, 19-DEC-07, 24-JUL-06, 31-DEC-07}"
entity_26,column,entity_22,HR_ORACLE,JOB_ID,JOB_HISTORY,VARCHAR2,FOREIGN KEY,"AD_ASST, ST_CLERK, IT_PROG, AC_ACCOUNT, SA_MAN",JOB_ID JOB_HISTORY VARCHAR2 FOREIGN KEY,"JOB_ID: {AD_ASST, ST_CLERK, IT_PROG, AC_ACCOUNT, SA_MAN}"
entity_27,column,entity_22,HR_ORACLE,DEPARTMENT_ID,JOB_HISTORY,NUMBER,FOREIGN KEY,"90, 20, 80, 60, 110",DEPARTMENT_ID JOB_HISTORY NUMBER FOREIGN KEY,"DEPARTMENT_ID: {90, 20, 80, 60, 110}"
entity_28,table,entity_0,HR_ORACLE,JOBS,,,,"JOB ID, JOB TITLE, MIN SALARY, MAX SALARY","JOBS [JOB ID, JOB TITLE, MIN SALARY, MAX SALARY]","JOBS: {JOB ID, JOB TITLE, MIN SALARY, MAX SALARY}"
entity_29,column,entity_28,HR_ORACLE,JOB_ID,JOBS,VARCHAR2,PRIMARY KEY,"ST_CLERK, AD_PRES, FI_MGR, AD_VP, MK_MAN",JOB_ID JOBS VARCHAR2 PRIMARY KEY,"JOB_ID: {ST_CLERK, AD_PRES, FI_MGR, AD_VP, MK_MAN}"
entity_30,column,entity_28,HR_ORACLE,JOB_TITLE,JOBS,VARCHAR2,,"Stock Manager, Shipping Clerk, Marketing Representative, Sales Representative, Public Accountant",JOB_TITLE JOBS VARCHAR2 ,"JOB_TITLE: {Stock Manager, Shipping Clerk, Marketing Representative, Sales Representative, Public Accountant}"
entity_31,column,entity_28,HR_ORACLE,MIN_SALARY,JOBS,NUMBER,,"20080, 4500, 4000, 5500, 15000",MIN_SALARY JOBS NUMBER ,"MIN_SALARY: {20080, 4500, 4000, 5500, 15000}"
entity_32,column,entity_28,HR_ORACLE,MAX_SALARY,JOBS,NUMBER,,"5500, 10500, 8500, 40000, 30000",MAX_SALARY JOBS NUMBER ,"MAX_SALARY: {5500, 10500, 8500, 40000, 30000}"
entity_33,table,entity_0,HR_ORACLE,LOCATIONS,,,,"LOCATION ID, STREET ADDRESS, POSTAL CODE, CITY, STATE PROVINCE, COUNTRY ID","LOCATIONS [LOCATION ID, STREET ADDRESS, POSTAL CODE, CITY, STATE PROVINCE, COUNTRY ID]","LOCATIONS: {LOCATION ID, STREET ADDRESS, POSTAL CODE, CITY, STATE PROVINCE, COUNTRY ID}"
entity_34,column,entity_33,HR_ORACLE,LOCATION_ID,LOCATIONS,NUMBER,PRIMARY KEY,"2000, 2400, 2900, 1600, 1900",LOCATION_ID LOCATIONS NUMBER PRIMARY KEY,"LOCATION_ID: {2000, 2400, 2900, 1600, 1900}"
entity_35,column,entity_33,HR_ORACLE,STREET_ADDRESS,LOCATIONS,VARCHAR2,,"Mariano Escobedo 9991, 2011 Interiors Blvd, 147 Spadina Ave, 2007 Zagora St, 1298 Vileparle (E)",STREET_ADDRESS LOCATIONS VARCHAR2 ,"STREET_ADDRESS: {Mariano Escobedo 9991, 2011 Interiors Blvd, 147 Spadina Ave, 2007 Zagora St, 1298 Vileparle (E)}"
entity_36,column,entity_33,HR_ORACLE,POSTAL_CODE,LOCATIONS,VARCHAR2,,"540198, nan, 1689, 00989, 80925",POSTAL_CODE LOCATIONS VARCHAR2 ,"POSTAL_CODE: {540198, nan, 1689, 00989, 80925}"
entity_37,column,entity_33,HR_ORACLE,CITY,LOCATIONS,VARCHAR2,,"Hiroshima, Seattle, Oxford, Bombay, Tokyo",CITY LOCATIONS VARCHAR2 ,"CITY: {Hiroshima, Seattle, Oxford, Bombay, Tokyo}"
entity_38,column,entity_33,HR_ORACLE,STATE_PROVINCE,LOCATIONS,VARCHAR2,,"Texas, Oxford, Utrecht, Washington, Tokyo Prefecture",STATE_PROVINCE LOCATIONS VARCHAR2 ,"STATE_PROVINCE: {Texas, Oxford, Utrecht, Washington, Tokyo Prefecture}"
entity_39,column,entity_33,HR_ORACLE,COUNTRY_ID,LOCATIONS,VARCHAR2,FOREIGN KEY,"CA, IN, US, UK, DE",COUNTRY_ID LOCATIONS VARCHAR2 FOREIGN KEY,"COUNTRY_ID: {CA, IN, US, UK, DE}"
entity_40,table,entity_0,HR_ORACLE,REGIONS,,,,"REGION ID, REGION NAME","REGIONS [REGION ID, REGION NAME]","REGIONS: {REGION ID, REGION NAME}"
entity_41,column,entity_40,HR_ORACLE,REGION_ID,REGIONS,NUMBER,PRIMARY KEY,4,REGION_ID REGIONS NUMBER PRIMARY KEY,REGION_ID: {4}
entity_42,column,entity_40,HR_ORACLE,REGION_NAME,REGIONS,VARCHAR2,,Asia,REGION_NAME REGIONS VARCHAR2 ,REGION_NAME: {Asia}
entity_44,table,entity_43,OC_ORACLE,CUSTOMERS,,,,"CUSTOMER ID, EMAIL ADDRESS, FULL NAME","CUSTOMERS [CUSTOMER ID, EMAIL ADDRESS, FULL NAME]","CUSTOMERS: {CUSTOMER ID, EMAIL ADDRESS, FULL NAME}"
entity_45,column,entity_44,OC_ORACLE,CUSTOMER_ID,CUSTOMERS,NUMBER,PRIMARY KEY,"22, 261, 310, 379, 367",CUSTOMER_ID CUSTOMERS NUMBER PRIMARY KEY,"CUSTOMER_ID: {22, 261, 310, 379, 367}"
entity_46,column,entity_44,OC_ORACLE,EMAIL_ADDRESS,CUSTOMERS,VARCHAR2,,"dania.grizzard@internalmail, adan.lamica@internalmail, frank.perez@internalmail, margaret.bennett@internalmail, james.smith@internalmail",EMAIL_ADDRESS CUSTOMERS VARCHAR2 ,"EMAIL_ADDRESS: {dania.grizzard@internalmail, adan.lamica@internalmail, frank.perez@internalmail, margaret.bennett@internalmail, james.smith@internalmail}"
entity_47,column,entity_44,OC_ORACLE,FULL_NAME,CUSTOMERS,VARCHAR2,,"Chassidy Hinderaker, Dorathy Hutchings, Michael Marker, Leon Schoepfer, Scotty Goffredo",FULL_NAME CUSTOMERS VARCHAR2 ,"FULL_NAME: {Chassidy Hinderaker, Dorathy Hutchings, Michael Marker, Leon Schoepfer, Scotty Goffredo}"
entity_48,table,entity_43,OC_ORACLE,INVENTORY,,,,"INVENTORY ID, STORE ID, PRODUCT ID, PRODUCT INVENTORY","INVENTORY [INVENTORY ID, STORE ID, PRODUCT ID, PRODUCT INVENTORY]","INVENTORY: {INVENTORY ID, STORE ID, PRODUCT ID, PRODUCT INVENTORY}"
entity_49,column,entity_48,OC_ORACLE,INVENTORY_ID,INVENTORY,NUMBER,PRIMARY KEY,"41, 481, 225, 243, 196",INVENTORY_ID INVENTORY NUMBER PRIMARY KEY,"INVENTORY_ID: {41, 481, 225, 243, 196}"
entity_50,column,entity_48,OC_ORACLE,STORE_ID,INVENTORY,NUMBER,FOREIGN KEY REFERENCES stores (store_id),"1, 19, 16, 22, 5",STORE_ID INVENTORY NUMBER FOREIGN KEY,"STORE_ID: {1, 19, 16, 22, 5}"
entity_51,column,entity_48,OC_ORACLE,PRODUCT_ID,INVENTORY,NUMBER,FOREIGN KEY REFERENCES products (product_id),"45, 29, 44, 42, 8",PRODUCT_ID INVENTORY NUMBER FOREIGN KEY,"PRODUCT_ID: {45, 29, 44, 42, 8}"
entity_52,column,entity_48,OC_ORACLE,PRODUCT_INVENTORY,INVENTORY,NUMBER,,"18, 17, 4, 11, 10",PRODUCT_INVENTORY INVENTORY NUMBER ,"PRODUCT_INVENTORY: {18, 17, 4, 11, 10}"
entity_53,table,entity_43,OC_ORACLE,ORDER_ITEMS,,,,"ORDER ID, LINE ITEM ID, PRODUCT ID, UNIT PRICE, QUANTITY, SHIPMENT ID","ORDER_ITEMS [ORDER ID, LINE ITEM ID, PRODUCT ID, UNIT PRICE, QUANTITY, SHIPMENT ID]","ORDER_ITEMS: {ORDER ID, LINE ITEM ID, PRODUCT ID, UNIT PRICE, QUANTITY, SHIPMENT ID}"
entity_54,column,entity_53,OC_ORACLE,ORDER_ID,ORDER_ITEMS,NUMBER,PRIMARY KEY,"908, 85, 458, 130, 48",ORDER_ID ORDER_ITEMS NUMBER PRIMARY KEY,"ORDER_ID: {908, 85, 458, 130, 48}"
entity_55,column,entity_53,OC_ORACLE,LINE_ITEM_ID,ORDER_ITEMS,NUMBER,PRIMARY KEY,3,LINE_ITEM_ID ORDER_ITEMS NUMBER PRIMARY KEY,LINE_ITEM_ID: {3}
entity_56,column,entity_53,OC_ORACLE,PRODUCT_ID,ORDER_ITEMS,NUMBER,FOREIGN KEY REFERENCES products (product_id),"32, 3, 8, 16, 15",PRODUCT_ID ORDER_ITEMS NUMBER FOREIGN KEY,"PRODUCT_ID: {32, 3, 8, 16, 15}"
entity_57,column,entity_53,OC_ORACLE,UNIT_PRICE,ORDER_ITEMS,FLOAT,,"48.39, 24.71, 23.32, 30.69, 11.0",UNIT_PRICE ORDER_ITEMS FLOAT ,"UNIT_PRICE: {48.39, 24.71, 23.32, 30.69, 11.0}"
entity_58,column,entity_53,OC_ORACLE,QUANTITY,ORDER_ITEMS,NUMBER,,"2, 4, 3, 5, 1",QUANTITY ORDER_ITEMS NUMBER ,"QUANTITY: {2, 4, 3, 5, 1}"
entity_59,column,entity_53,OC_ORACLE,SHIPMENT_ID,ORDER_ITEMS,FLOAT,FOREIGN KEY REFERENCES shipments (shipment_id),"246.0, 1770.0, 1786.0, 123.0, 506.0",SHIPMENT_ID ORDER_ITEMS FLOAT FOREIGN KEY,"SHIPMENT_ID: {246.0, 1770.0, 1786.0, 123.0, 506.0}"
entity_60,table,entity_43,OC_ORACLE,ORDERS,,,,"ORDER ID, ORDER DATE TIME, CUSTOMER ID, ORDER STATUS, STORE ID","ORDERS [ORDER ID, ORDER DATE TIME, CUSTOMER ID, ORDER STATUS, STORE ID]","ORDERS: {ORDER ID, ORDER DATE TIME, CUSTOMER ID, ORDER STATUS, STORE ID}"
entity_61,column,entity_60,OC_ORACLE,ORDER_ID,ORDERS,NUMBER,PRIMARY KEY,"1101, 171, 1494, 1945, 946",ORDER_ID ORDERS NUMBER PRIMARY KEY,"ORDER_ID: {1101, 171, 1494, 1945, 946}"
entity_62,column,entity_60,OC_ORACLE,ORDER_DATETIME,ORDERS,DATE,,"06-MAR-19 12.36.19.692532000 PM, 12-MAR-19 12.49.36.705140000 PM, 24-JAN-19 07.19.32.303101000 AM, 25-JAN-19 06.35.35.748511000 PM, 03-MAR-19 09.15.47.418670000 AM",ORDER_DATETIME ORDERS DATE ,"ORDER_DATETIME: {06-MAR-19 12.36.19.692532000 PM, 12-MAR-19 12.49.36.705140000 PM, 24-JAN-19 07.19.32.303101000 AM, 25-JAN-19 06.35.35.748511000 PM, 03-MAR-19 09.15.47.418670000 AM}"
entity_63,column,entity_60,OC_ORACLE,CUSTOMER_ID,ORDERS,NUMBER,FOREIGN KEY REFERENCES customers (customer_id),"136, 170, 44, 168, 17",CUSTOMER_ID ORDERS NUMBER FOREIGN KEY,"CUSTOMER_ID: {136, 170, 44, 168, 17}"
entity_64,column,entity_60,OC_ORACLE,ORDER_STATUS,ORDERS,VARCHAR2,,REFUNDED,ORDER_STATUS ORDERS VARCHAR2 ,ORDER_STATUS: {REFUNDED}
entity_65,column,entity_60,OC_ORACLE,STORE_ID,ORDERS,NUMBER,FOREIGN KEY REFERENCES stores (store_id),"15, 5, 2, 20, 8",STORE_ID ORDERS NUMBER FOREIGN KEY,"STORE_ID: {15, 5, 2, 20, 8}"
entity_66,table,entity_43,OC_ORACLE,PRODUCTS,,,,"PRODUCT ID, PRODUCT NAME, UNIT PRICE, PRODUCT DETAILS, PRODUCT IMAGE, IMAGE MIME TYPE, IMAGE FILENAME, IMAGE CHAR SET, IMAGE LAST UPDATED","PRODUCTS [PRODUCT ID, PRODUCT NAME, UNIT PRICE, PRODUCT DETAILS, PRODUCT IMAGE, IMAGE MIME TYPE, IMAGE FILENAME, IMAGE CHAR SET, IMAGE LAST UPDATED]","PRODUCTS: {PRODUCT ID, PRODUCT NAME, UNIT PRICE, PRODUCT DETAILS, PRODUCT IMAGE, IMAGE MIME TYPE, IMAGE FILENAME, IMAGE CHAR SET, IMAGE LAST UPDATED}"
entity_67,column,entity_66,OC_ORACLE,PRODUCT_ID,PRODUCTS,NUMBER,PRIMARY KEY,"38, 8, 45, 40, 17",PRODUCT_ID PRODUCTS NUMBER PRIMARY KEY,"PRODUCT_ID: {38, 8, 45, 40, 17}"
entity_68,column,entity_66,OC_ORACLE,PRODUCT_NAME,PRODUCTS,VARCHAR2,,"Girl's Shorts (Green), Women's Trousers (Blue), Women's Pyjamas (Grey), Boy's Jeans (Black), Men's Shorts (Black)",PRODUCT_NAME PRODUCTS VARCHAR2 ,"PRODUCT_NAME: {Girl's Shorts (Green), Women's Trousers (Blue), Women's Pyjamas (Grey), Boy's Jeans (Black), Men's Shorts (Black)}"
entity_69,column,entity_66,OC_ORACLE,UNIT_PRICE,PRODUCTS,FLOAT,,"39.78, 16.67, 37.34, 34.06, 48.75",UNIT_PRICE PRODUCTS FLOAT ,"UNIT_PRICE: {39.78, 16.67, 37.34, 34.06, 48.75}"
entity_70,column,entity_66,OC_ORACLE,PRODUCT_DETAILS,PRODUCTS,BLOB,,"{""colour"":""blue"",""gender"":""Women's"",""brand"":""TROLLERY""}, {""colour"":""brown"",""gender"":""Boy's"",""brand"":""KOFFEE""}, {""colour"":""red"",""gender"":""Men's"",""brand"":""VELOS""}, {""colour"":""red"",""gender"":""Men's"",""brand"":""FANGOLD""}, {""colour"":""brown"",""gender"":""Boy's"",""brand"":""GRONK""}",PRODUCT_DETAILS PRODUCTS BLOB ,PRODUCT_DETAILS: {(BLOB)}
entity_71,column,entity_66,OC_ORACLE,PRODUCT_IMAGE,PRODUCTS,BLOB,,(BLOB),PRODUCT_IMAGE PRODUCTS BLOB ,PRODUCT_IMAGE: {(BLOB)}
entity_72,column,entity_66,OC_ORACLE,IMAGE_MIME_TYPE,PRODUCTS,VARCHAR2,,,IMAGE_MIME_TYPE PRODUCTS BLOB ,IMAGE_MIME_TYPE: {}
entity_73,column,entity_66,OC_ORACLE,IMAGE_FILENAME,PRODUCTS,VARCHAR2,,,IMAGE_FILENAME PRODUCTS BLOB ,IMAGE_FILENAME: {}
entity_74,column,entity_66,OC_ORACLE,IMAGE_CHARSET,PRODUCTS,VARCHAR2,,,IMAGE_CHARSET PRODUCTS BLOB ,IMAGE_CHARSET: {}
entity_75,column,entity_66,OC_ORACLE,IMAGE_LAST_UPDATED,PRODUCTS,DATE,,,IMAGE_LAST_UPDATED PRODUCTS DATE ,IMAGE_LAST_UPDATED: {}
entity_76,table,entity_43,OC_ORACLE,SHIPMENTS,,,,"SHIPMENT ID, STORE ID, CUSTOMER ID, DELIVERY ADDRESS, SHIPMENT STATUS","SHIPMENTS [SHIPMENT ID, STORE ID, CUSTOMER ID, DELIVERY ADDRESS, SHIPMENT STATUS]","SHIPMENTS: {SHIPMENT ID, STORE ID, CUSTOMER ID, DELIVERY ADDRESS, SHIPMENT STATUS}"
entity_77,column,entity_76,OC_ORACLE,SHIPMENT_ID,SHIPMENTS,NUMBER,PRIMARY KEY,"1536, 907, 745, 38, 1210",SHIPMENT_ID SHIPMENTS NUMBER PRIMARY KEY,"SHIPMENT_ID: {1536, 907, 745, 38, 1210}"
entity_78,column,entity_76,OC_ORACLE,STORE_ID,SHIPMENTS,NUMBER,FOREIGN KEY REFERENCES stores (store_id),1,STORE_ID SHIPMENTS NUMBER FOREIGN KEY,STORE_ID: {1}
entity_79,column,entity_76,OC_ORACLE,CUSTOMER_ID,SHIPMENTS,NUMBER,FOREIGN KEY REFERENCES customers (customer_id),"350, 362, 78, 339, 319",CUSTOMER_ID SHIPMENTS NUMBER FOREIGN KEY,"CUSTOMER_ID: {350, 362, 78, 339, 319}"
entity_80,column,entity_76,OC_ORACLE,DELIVERY_ADDRESS,SHIPMENTS,VARCHAR2,,"Brush Creek, TN 38547 USA, Dorchester, IA 52140 USA, Walford, IA 52351 USA, Inwood, NY 11096 USA, Salisbury, PA 15558 USA",DELIVERY_ADDRESS SHIPMENTS VARCHAR2 ,"DELIVERY_ADDRESS: {Brush Creek, TN 38547 USA, Dorchester, IA 52140 USA, Walford, IA 52351 USA, Inwood, NY 11096 USA, Salisbury, PA 15558 USA}"
entity_81,column,entity_76,OC_ORACLE,SHIPMENT_STATUS,SHIPMENTS,VARCHAR2,,DELIVERED,SHIPMENT_STATUS SHIPMENTS VARCHAR2 ,SHIPMENT_STATUS: {DELIVERED}
entity_82,table,entity_43,OC_ORACLE,STORES,,,,"STORE ID, STORE NAME, WEB ADDRESS, PHYSICAL ADDRESS, LATITUDE, LONGITUDE, LOGO, LOGO MIME TYPE, LOGO FILENAME, LOGO CHAR SET, LOGO LAST UPDATED","STORES [STORE ID, STORE NAME, WEB ADDRESS, PHYSICAL ADDRESS, LATITUDE, LONGITUDE, LOGO, LOGO MIME TYPE, LOGO FILENAME, LOGO CHAR SET, LOGO LAST UPDATED]","STORES: {STORE ID, STORE NAME, WEB ADDRESS, PHYSICAL ADDRESS, LATITUDE, LONGITUDE, LOGO, LOGO MIME TYPE, LOGO FILENAME, LOGO CHAR SET, LOGO LAST UPDATED}"
entity_83,column,entity_82,OC_ORACLE,STORE_ID,STORES,NUMBER,PRIMARY KEY,"10, 16, 9, 11, 8",STORE_ID STORES NUMBER PRIMARY KEY,"STORE_ID: {10, 16, 9, 11, 8}"
entity_84,column,entity_82,OC_ORACLE,STORE_NAME,STORES,VARCHAR2,,"Mexico City, Sydney, London, Madrid, Online",STORE_NAME STORES VARCHAR2 ,"STORE_NAME: {Mexico City, Sydney, London, Madrid, Online}"
entity_85,column,entity_82,OC_ORACLE,WEB_ADDRESS,STORES,VARCHAR2,,,WEB_ADDRESS STORES VARCHAR2 ,WEB_ADDRESS: {}
entity_86,column,entity_82,OC_ORACLE,PHYSICAL_ADDRESS,STORES,VARCHAR2,,"First International Financial Center     Unit No. 501, Level 5     No. C54 1, G Block     Bandra Kurla Complex     CTS No. 4207, Kolekalyan Village     Mumbai - 400 051     India, 205 Lexington Ave     7th Floor     New York, NY 10016, Hertogswetering 163-167, 3543 AS Utrecht, Netherlands, 2 Chome-5-? Kitaaoyama, Minato City, Tokyo 107-0061, Japan, Montes Urales # 470 P3 Col. Lomas de Chapultepec Delegacion Miguel Hidalgo - C.P. 11000",PHYSICAL_ADDRESS STORES VARCHAR2 ,"PHYSICAL_ADDRESS: {First International Financial Center     Unit No. 501, Level 5     No. C54 1, G Block     Bandra Kurla Complex     CTS No. 4207, Kolekalyan Village     Mumbai - 400 051     India, 205 Lexington Ave     7th Floor     New York, NY 10016, Hertogswetering 163-167, 3543 AS Utrecht, Netherlands, 2 Chome-5-? Kitaaoyama, Minato City, Tokyo 107-0061, Japan, Montes Urales # 470 P3 Col. Lomas de Chapultepec Delegacion Miguel Hidalgo - C.P. 11000}"
entity_87,column,entity_82,OC_ORACLE,LATITUDE,STORES,FLOAT,,"nan, 41.878751, 52.103263, 40.745216, 32.100664",LATITUDE STORES FLOAT ,"LATITUDE: {nan, 41.878751, 52.103263, 40.745216, 32.100664}"
entity_88,column,entity_82,OC_ORACLE,LONGITUDE,STORES,FLOAT,,"77.220135, 72.870143, 139.718584, 116.290061, -122.267237",LONGITUDE STORES FLOAT ,"LONGITUDE: {77.220135, 72.870143, 139.718584, 116.290061, -122.267237}"
entity_89,column,entity_82,OC_ORACLE,LOGO,STORES,BLOB,,(BLOB),LOGO STORES BLOB ,LOGO: {(BLOB)}
entity_90,column,entity_82,OC_ORACLE,LOGO_MIME_TYPE,STORES,VARCHAR2,,,LOGO_MIME_TYPE STORES VARCHAR2 ,LOGO_MIME_TYPE: {}
entity_91,column,entity_82,OC_ORACLE,LOGO_FILENAME,STORES,VARCHAR2,,,LOGO_FILENAME STORES VARCHAR2 ,LOGO_FILENAME: {}
entity_92,column,entity_82,OC_ORACLE,LOGO_CHARSET,STORES,VARCHAR2,,,LOGO_CHARSET STORES VARCHAR2 ,LOGO_CHARSET: {}
